Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
WCHQ-AP-6E2        ABC-OFFICES  20:4c:03:b4:cc:17  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:0e  10.11.2.130:8514  2021-06-08 16:44:58   0         OutOfDate  
d0:d3:e0:c1:ff:d6  ABC-OFFICES  20:4c:03:b4:ce:e8  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:d6  10.11.3.179:8514  2021-08-04 08:28:15   1         Current    
d0:d3:e0:c1:fc:76  default      20:4c:03:b4:ce:d5  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:76  10.11.3.205:8514  2021-07-12 12:47:43   0         OutOfDate  
d0:d3:e0:c1:fd:c6  default      20:4c:03:b4:cc:b7  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:c6  10.11.3.239:8514  2021-07-06 09:48:46   0         OutOfDate  
d0:d3:e0:c1:fd:96  default      20:4c:03:b4:d0:83  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:96  10.11.2.165:8514  2021-04-20 08:03:29   0         OutOfDate  
d0:d3:e0:c1:fe:2e  ABC-OFFICES  20:4c:03:b4:cb:ee  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:2e  10.11.3.197:8514  2021-07-28 12:43:08   0         OutOfDate  
d0:d3:e0:c1:fe:8e  ABC-OFFICES  20:4c:03:b4:cf:b6  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fe:8e  10.11.3.206:8514  2021-08-04 08:27:17   1         Current    
WCHQ-AP-6E9        ABC-OFFICES  20:4c:03:b4:ac:aa  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:b9:5e  10.11.2.140:8514  2021-08-04 08:27:27   1         Current    
d0:d3:e0:c2:00:f8  ABC-OFFICES  20:4c:03:b4:ce:0b  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:f8  10.11.3.53:8514   2021-08-04 08:28:17   1         Current    
d0:d3:e0:c2:00:c8  default      20:4c:03:b4:ce:40  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:c8  10.11.3.180:8514  2021-07-12 12:48:38   0         OutOfDate  
d0:d3:e0:c2:00:40  ABC-OFFICES  20:4c:03:b4:cd:08  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:40  10.11.3.236:8514  2021-08-04 08:27:12   1         Current    
d0:d3:e0:c2:00:48  ABC-OFFICES  20:4c:03:b4:cb:f4  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:48  10.11.3.232:8514  2021-08-04 08:28:37   1         Current    
WCHQ-AP-8W2        ABC-OFFICES  20:4c:03:b4:d0:74  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:01:70  10.11.2.170:8514  2021-08-04 08:28:24   1         Current    
d0:d3:e0:c1:f8:24  default      20:4c:03:b4:cd:55  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:24  10.11.3.59:8514   2021-07-13 10:41:32   0         OutOfDate  
d0:d3:e0:c1:f9:04  ABC-OFFICES  20:4c:03:b4:cd:c6  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:04  10.11.3.189:8514  2021-08-04 08:28:40   1         Current    
